Time,Brightness Level
26-02-2025 08:09:03,100
26-02-2025 08:09:03,100
26-02-2025 08:09:03,100
26-02-2025 08:09:03,100
26-02-2025 08:09:03,100
26-02-2025 08:09:03,100
26-02-2025 08:09:03,100
26-02-2025 08:09:03,100
26-02-2025 08:09:04,100
26-02-2025 08:09:04,100
26-02-2025 08:09:04,100
26-02-2025 08:09:04,100
26-02-2025 08:09:04,100
26-02-2025 08:09:04,100
26-02-2025 08:09:04,100
26-02-2025 08:09:04,100
26-02-2025 08:09:04,100
26-02-2025 08:09:04,100
26-02-2025 08:09:04,100
26-02-2025 08:09:04,100
26-02-2025 08:09:05,100
26-02-2025 08:09:05,100
26-02-2025 08:09:05,100
26-02-2025 08:09:05,100
26-02-2025 08:09:05,100
26-02-2025 08:09:05,100
26-02-2025 08:09:05,100
26-02-2025 08:09:05,100
26-02-2025 08:09:05,100
26-02-2025 08:09:05,100
26-02-2025 08:09:05,100
26-02-2025 08:09:05,100
26-02-2025 08:09:06,100
26-02-2025 08:09:06,100
26-02-2025 08:09:06,100
26-02-2025 08:09:06,100
26-02-2025 08:09:06,100
26-02-2025 08:09:06,100
26-02-2025 08:09:06,100
26-02-2025 08:09:06,100
26-02-2025 08:09:06,100
26-02-2025 08:09:06,100
26-02-2025 08:09:06,100
26-02-2025 08:09:06,100
26-02-2025 08:09:07,100
26-02-2025 08:09:07,100
26-02-2025 08:09:07,100
26-02-2025 08:09:07,100
26-02-2025 08:09:07,100
26-02-2025 08:09:07,100
26-02-2025 08:09:07,100
26-02-2025 08:09:07,100
26-02-2025 08:09:07,100
26-02-2025 08:09:07,100
26-02-2025 08:09:07,100
26-02-2025 08:09:07,100
26-02-2025 08:09:08,100
26-02-2025 08:09:08,100
26-02-2025 08:09:08,100
26-02-2025 08:09:08,100
26-02-2025 08:09:08,100
26-02-2025 08:09:08,100
26-02-2025 08:09:08,100
26-02-2025 08:09:08,100
26-02-2025 08:09:08,100
26-02-2025 08:09:08,100
26-02-2025 08:09:08,100
26-02-2025 08:09:08,100
26-02-2025 08:09:08,100
